LLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,CLAVE_ENTIDAD_INEGI(CLAVE_DE_AGEE),LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEEM),MUNICIPIO,MERCADO_TRABAJO_LOCAL
1,Aguascalientes,01,17,001,Aguascalientes,1
1,Aguascalientes,01,18,002,Asientos,1
1,Aguascalientes,01,20,004,Cosío,1
1,Aguascalientes,01,21,005,Jesús María,1
1,Aguascalientes,01,22,006,Pabellón de Arteaga,1
1,Aguascalientes,01,23,007,Rincón de Romos,1
1,Aguascalientes,01,24,008,San José de Gracia,1
1,Aguascalientes,01,25,009,Tepezalá,1
1,Aguascalientes,01,26,010,El Llano,1
1,Aguascalientes,01,27,011,San Francisco de los Romo,1
32,Zacatecas,32,2443,052,Villa García,1
32,Zacatecas,32,2399,008,Cuauhtémoc,2
32,Zacatecas,32,2407,016,General Pánfilo Natera,2
32,Zacatecas,32,2416,025,Luis Moya,2
32,Zacatecas,32,2427,036,Ojocaliente,2
32,Zacatecas,32,2444,053,Villa González Ortega,2
32,Zacatecas,32,2415,024,Loreto,3
32,Zacatecas,32,2426,035,Noria de Ángeles,3
32,Zacatecas,32,2429,038,Pinos,3
32,Zacatecas,32,2445,054,Villa Hidalgo,3
14,Jalisco,14,564,035,Encarnación de Díaz,4
14,Jalisco,14,582,053,Lagos de Moreno,5
14,Jalisco,14,593,064,Ojuelos de Jalisco,6
14,Jalisco,14,602,073,San Juan de los Lagos,6
24,San Luis Potosí,24,1832,025,Salinas,7
24,San Luis Potosí,24,1840,033,Santo Domingo,7
24,San Luis Potosí,24,1856,049,Villa de Ramos,7
32,Zacatecas,32,2442,051,Villa de Cos,7
32,Zacatecas,32,2397,006,Cañitas de Felipe Pescador,8
32,Zacatecas,32,2396,005,Calera,9
32,Zacatecas,32,2401,010,Fresnillo,9
32,Zacatecas,32,2403,012,Genaro Codina,9
32,Zacatecas,32,2404,013,General Enrique Estrada,9
32,Zacatecas,32,2408,017,Guadalupe,9
32,Zacatecas,32,2423,032,Morelos,9
32,Zacatecas,32,2428,037,Pánuco,9
32,Zacatecas,32,2441,050,Vetagrande,9
32,Zacatecas,32,2447,056,Zacatecas,9
32,Zacatecas,32,2448,057,Trancoso,9
32,Zacatecas,32,2431,040,Sain Alto,10
24,San Luis Potosí,24,1808,001,Ahualulco,11
24,San Luis Potosí,24,1811,004,Armadillo de los Infante,11
24,San Luis Potosí,24,1816,009,Cerro de San Pedro,11
24,San Luis Potosí,24,1828,021,Mexquitic de Carmona,11
24,San Luis Potosí,24,1835,028,San Luis Potosí,11
24,San Luis Potosí,24,1842,035,Soledad de Graciano Sánchez,11
24,San Luis Potosí,24,1853,046,Villa de Arriaga,11
24,San Luis Potosí,24,1857,050,Villa de Reyes,11
24,San Luis Potosí,24,1858,051,Villa Hidalgo,11
24,San Luis Potosí,24,1862,055,Zaragoza,11
24,San Luis Potosí,24,1829,022,Moctezuma,12
24,San Luis Potosí,24,2452,056,Villa de Arista,12
24,San Luis Potosí,24,1839,032,Santa María del Río,13
24,San Luis Potosí,24,1850,043,Tierra Nueva,13
24,San Luis Potosí,24,1822,015,Charcas,14
24,San Luis Potosí,24,1852,045,Venado,14
1,Aguascalientes,01,19,003,Calvillo,15
32,Zacatecas,32,2409,018,Huanusco,16
32,Zacatecas,32,2410,019,Jalpa,16
32,Zacatecas,32,2435,044,Tabasco,16
32,Zacatecas,32,2392,001,Apozol,17
32,Zacatecas,32,2414,023,Juchipila,17
32,Zacatecas,32,2419,028,Mezquital del Oro,17
32,Zacatecas,32,2424,033,Moyahua de Estrada,17
32,Zacatecas,32,2406,015,El Plateado de Joaquín Amaro,18
32,Zacatecas,32,2446,055,Villanueva,18
32,Zacatecas,32,2411,020,Jerez,19
32,Zacatecas,32,2434,043,Susticacán,19
32,Zacatecas,32,2437,046,Tepetongo,19
32,Zacatecas,32,2422,031,Monte Escobedo,20
10,Durango,10,310,031,Santa Clara,21
32,Zacatecas,32,2413,022,Juan Aldama,21
32,Zacatecas,32,2420,029,Miguel Auza,21
32,Zacatecas,32,2400,009,Chalchihuites,22
32,Zacatecas,32,2433,042,Sombrerete,22
32,Zacatecas,32,2412,021,Jiménez del Teul,23
32,Zacatecas,32,2405,014,General Francisco R. Murguía,24
32,Zacatecas,32,2430,039,Río Grande,24
14,Jalisco,14,530,001,Acatic,25
14,Jalisco,14,622,093,Tepatitlán de Morelos,25
14,Jalisco,14,640,111,Valle de Guadalupe,25
14,Jalisco,14,646,117,Cañadas de Obregón,25
14,Jalisco,14,575,046,Jalostotitlán,26
